Constituency,BJP,INC
Ghazipur,31.10614514,1.916257481
Ghosi,36.52491273,1.857515171
Giridih,40.3517352,
Godda,36.25045492,30.4692457
Gonda,41.15173457,11.70042589
Gopalganj,52.98564614,21.23053597
Gorakhpur,51.79819412,4.39258586
Grand Total,16956.85634,10742.17588
Gulbarga,43.32893158,50.8165629
Guna,40.53153631,52.88726999
Guntur,,3.755128231
Gurdaspur,46.24847039,33.19977598
Gurgaon,48.82303901,10.12481004
Guwahati,50.58594887,29.70418873
Gwalior,44.67853464,41.68187748
Hajipur,,25.41139268
Hamirpur,53.60911954,41.83482023
Hamirpur1,54.308975,9.360402228
Haora,22.04084823,5.618941698
Hardoi,37.05404222,2.394681501
Hardwar,50.37874213,35.25440278
Hassan,14.43861358,35.67467282
Hathras,51.87102886,
Hatkanangle,,38.86461928
Haveri,50.77089275,42.9266156
Hazaribagh,42.0666606,25.61673772
Hindupur,,3.091064811
Hingoli,,44.4514716
Hisar,,8.861389776
Hoshangabad,64.84910687,27.05580318
Hoshiarpur,36.0499895,34.63749607
Hugli,16.3790519,3.125677769
Hyderabad,32.04606028,5.074245964
Idukki,6.148973444,40.41086622
Indore,64.91735863,29.46592904
Inner Manipur,14.41477966,45.54742295
Jabalpur,56.33639656,35.51850411
Jadavpur,12.1995916,2.066645067
Jagatsinghpur,10.36731552,30.72714562
Jaipur,66.46578662,24.94420498
Jaipur Rural,62.28216053,29.52422188
Jajapur,15.35873617,22.51807941
Jalandhar,,36.55717165
Jalaun,49.46199818,7.474145711
Jalgaon,65.39172061,
Jalna,55.46154026,36.0689251
Jalore,53.353308,18.3230473
Jalpaiguri,16.98968013,6.715429202
Jammu,49.34187751,28.86642489
Jamnagar,56.78994688,36.23997496
Jamshedpur,44.2402713,
Jamui,,
Jangipur,8.643730122,33.78846085
Janjgir-Champa,48.34404262,32.04383962
Jaunpur,36.45117574,4.245186079
Jaynagar,9.519885162,3.237009872
Jhalawar - Baran,58.97573898,34.41674728
Jhanjharpur,35.64150372,
Jhansi,43.59931772,6.366197354
Jhargram,9.737167484,3.221338295
Jhunjhunun,48.39997581,25.21680162
Jodhpur,66.07856284,28.10377497
Jorhat,48.99481305,38.00044656
Junagadh,54.46274212,40.04714213
Kachchh,59.40290505,32.54524174
Kadapa,,1.192137338
Kairana,50.53900569,
Kaisarganj,40.4372523,6.084243039
Kakinada,,1.792998285
Kalahandi,28.1369903,27.55040789
Kaliabor,29.93350129,37.97485161
Kallakurichi,,3.582553955
Kalyan,,
Kancheepuram,,2.948447093
Kandhamal,12.94885901,28.63088179
Kangra,57.02564987,35.76468323
Kanker,45.74025642,42.28349786
Kannauj,42.10183962,
Kanniyakumari,37.62311307,24.64218765
Kannur,5.443550938,44.38840699
Kanpur,56.84322706,30.14710373
Kanthi,8.595196588,2.106976856
Karakat,,
Karauli - Dhaulpur,47.54656209,44.33084459
Karimganj,29.37342726,25.52000378
Karimnagar,19.05812948,26.67666171
Karnal,49.82981443,19.65909272
Karur,,2.909019019
Kasaragod,17.72219915,38.76588785
Katihar,32.37280804,
Kaushambi,36.43260839,3.504064737
Kendrapara,10.43005185,34.34604393
Kendujhar,25.5542514,17.56740684
Khadoor Sahib,,35.2445941
Khagaria,,
Khajuraho,54.31093923,26.01119915
Khammam,,
Khandwa,57.03671193,36.38697602
Khargone,56.33457508,33.96233454
Kheda,59.34792326,35.02314447
Kheri,36.97792242,17.06496357
Khunti,36.49416834,19.93150861
Kishanganj,32.18624899,53.14609924
Koch Bihar,16.328449,5.592032217
Kodarma,35.65187782,5.886203959
Kokrajhar,,
Kolar,23.71263328,37.16057268
Kolhapur,,
Kolkata Dakshin,25.27893385,9.70955962
Kolkata Uttar,25.88103515,13.67811259
Kollam,6.673013143,
Koppal,48.2795827,45.06208868
Koraput,9.063480095,37.93250338
Korba,41.69697361,41.29187844
Kota,55.78180094,38.41269512
Kottayam,,
Kozhikode,12.27276149,42.15475172
Krishnagiri,,3.636344933
Krishnanagar,26.37849915,5.989372905
Krukshetra,36.80002957,25.32378432
Kurnool,,10.91716835
Kushi Nagar,38.92028961,29.9235795
Lakhimpur,55.05163256,28.79604914
Lakshadweep,0.432449933,46.55196337
Lalganj,36.01986776,2.426996669
Latur,58.29436855,34.33445634
Leh (Ladakh),26.12876676,22.17388383
Lohardaga,34.78398316,33.7881864
Lucknow,54.22896343,27.86871145
Ludhiana,,27.26569852
Machhlishahr,43.91264569,3.635086425
Machilipatnam,,1.234506337
Madha,,
Madhepura,24.40415965,
Madhubani,41.60986625,
Madurai,,3.293168166
Mahabubabad,,25.34816593
Maharajganj,37.87677145,6.75375192
Maharajganj1,55.68299771,6.75375192
Mahasamund,44.50936748,44.40178775
Mahbubnagar,26.86219868,32.65696392
Mahesana,57.77684844,36.97708343
Mainpuri,23.13845834,
Malappuram,7.581420745,
Maldah Dakshin,19.78827697,34.81036006
Maldah Uttar,15.38916534,33.40987795
Malkajgiri,,14.372324
Mandi,49.94260009,44.45643526
Mandla,48.06258672,38.99780169
Mandsaur,60.11842297,33.97781851
Mandya,7.291702465,43.48987168
Mangaldoi,39.42985422,37.57460636
Mathura,53.28911067,
Mathurapur,5.234233894,3.726848793
Maval,,
Mavelikkara,8.967252878,45.25424815
Mayiladuthurai,,5.695118067
Mayurbhanj,25.68979333,13.48104177
Medak,15.23223197,21.82258275
Medinipur,14.25633068,3.872551154
Meerut,47.85802988,3.853112813
Mirzapur,,15.15075731
Misrikh,41.32717762,3.313085863
Mizoram,,48.39158363
MohanLalganj,40.7711224,4.710305214
Moradabad,43.01341399,1.749172928
Morena,43.96293491,21.56819594
Mumbai North,70.13753846,22.9658916
Mumbai North-Central,56.60088355,34.50970188
Mumbai North-East,60.90105528,
Mumbai North-West,,31.38446392
Mumbai South,,31.54993403
Mumbai South-Central,,31.58738211
Munger,,
Murshidabad,7.84345224,31.70114654
Muzaffarnagar,58.98281675,1.167846971
Muzaffarpur,49.45533218,26.01601598
Mysore,43.45428017,40.72857848
Nabarangapur,13.54253185,36.37739474
Nagaland,,30.11138869
Nagaon,40.15831027,28.49154202
Nagappattinam,,2.542734317
NagarKurnool,,37.63576695
Nagaur,41.25126924,33.77078396
Nagina,39.02134995,
Nagpur,54.13390559,27.89913103
Nainital - Udhamsingh Nagar,57.78649175,31.9485559
Nalanda,,13.80606851
NalGonda,,39.61618472
